Year,Month,Count,Key
1996,Jan,-,Explanation of symbols used in the table:
1996,Feb,-,* An asterisk denotes counter non-operational due to site improvement works
1996,Mar,-,"** Two asterisks, revised figure following QA"
1996,Apr,-,"*** Three asterisks, total based on estimates"
1996,May,-,"#Hashtag, maintenance work being carried out"
1996,Jun,338,
1996,Jul,1010,
1996,Aug,1082,
1996,Sep,7935,
1996,Oct,8276,
1996,Nov,564,
1996,Dec,24,
1997,Jan,25,
1997,Feb,4,
1997,Mar,43,
1997,Apr,180,
1997,May,381,
1997,Jun,889,
1997,Jul,3808,
1997,Aug,2814,
1997,Sep,7152,
1997,Oct,12053,
1997,Nov,7314,
1997,Dec,183,
1998,Jan,2,
1998,Feb,22,
1998,Mar,27,
1998,Apr,31,
1998,May,363,
1998,Jun,1107,
1998,Jul,3131,
1998,Aug,3001,
1998,Sep,6433,
1998,Oct,12391,
1998,Nov,2280,
1998,Dec,764,
1999,Jan,0,
1999,Feb,8,
1999,Mar,23,
1999,Apr,91,
1999,May,243,
1999,Jun,538,
1999,Jul,2027,
1999,Aug,2735,
1999,Sep,3478,
1999,Oct,7856,
1999,Nov,2889,
1999,Dec,12,
2000,Jan,4,
2000,Feb,3,
2000,Mar,32,
2000,Apr,231,
2000,May,535,
2000,Jun,815,
2000,Jul,1816,
2000,Aug,2142,
2000,Sep,3769,
2000,Oct,4859,
2000,Nov,851,
2000,Dec,162,
2001,Jan,0,
2001,Feb,1,
2001,Mar,24,
2001,Apr,134,
2001,May,430,
2001,Jun,1577,
2001,Jul,3823,
2001,Aug,4209,
2001,Sep,5640,
2001,Oct,5065,
2001,Nov,1184,
2001,Dec,117,
2002,Jan,36,
2002,Feb,0,
2002,Mar,9,
2002,Apr,95,
2002,May,349,
2002,Jun,529,
2002,Jul,2599,
2002,Aug,2594,
2002,Sep,4571,
2002,Oct,5491,
2002,Nov,2561,
2002,Dec,52,
2003,Jan,1,
2003,Feb,5,
2003,Mar,30,
2003,Apr,81,
2003,May,325,
2003,Jun,2002,
2003,Jul,6005,
2003,Aug,4142,
2003,Sep,7398,
2003,Oct,14066,
2003,Nov,9242,
2003,Dec,766,
2004,Jan,145*,
2004,Feb,*,
2004,Mar,96,
2004,Apr,297,
2004,May,752,
2004,Jun,3943,
2004,Jul,8112,
2004,Aug,5267,
2004,Sep,8454,
2004,Oct,13649,
2004,Nov,6946,
2004,Dec,1007,
2005,Jan,127,
2005,Feb,30,
2005,Mar,126,
2005,Apr,211,
2005,May,1028,
2005,Jun,2229,
2005,Jul,5746,
2005,Aug,6917,
2005,Sep,8924,
2005,Oct,6559,
2005,Nov,660,
2005,Dec,361,
2006,Jan,41#,
2006,Feb,17,
2006,Mar,11,
2006,Apr,157,
2006,May,592,
2006,Jun,2083,
2006,Jul,4485,
2006,Aug,9460,
2006,Sep,11170,
2006,Oct,10713,
2006,Nov,2384,
2006,Dec,195,
2007,Jan,4#,
2007,Feb,18,
2007,Mar,20,
2007,Apr,212,
2007,May,670,
2007,Jun,1625,
2007,Jul,2543,
2007,Aug,5883,
2007,Sep,9224,
2007,Oct,8764,
2007,Nov,1832,
2007,Dec,76**,
2008,Jan,27,
2008,Feb,15,
2008,Mar,26,
2008,Apr,97,
2008,May,691,
2008,Jun,4047,
2008,Jul,5281,
2008,Aug,4110,
2008,Sep,6138,
2008,Oct,6413,
2008,Nov,2323,
2008,Dec,158,
2009,Jan,4,
2009,Feb,18*,
2009,Mar,57,
2009,Apr,139,
2009,May,653,
2009,Jun,1951,
2009,Jul,5082,
2009,Aug,2494,
2009,Sep,3859,
2009,Oct,7789,
2009,Nov,627,
2009,Dec,58,
2010,Jan,5,
2010,Feb,2,
2010,Mar,51,
2010,Apr,105,
2010,May,423,
2010,Jun,3638,
2010,Jul,9240,
2010,Aug,10430,
2010,Sep,11458,
2010,Oct,9409,
2010,Nov,837,
2010,Dec,4,
2011,Jan,0#,
2011,Feb,5,
2011,Mar,106,
2011,Apr,409,
2011,May,1346,
2011,Jun,3076,
2011,Jul,5651,
2011,Aug,5771,
2011,Sep,7519,
2011,Oct,8777,
2011,Nov,3304,
2011,Dec,11,
2012,Jan,13,
2012,Feb,41,
2012,Mar,144,
2012,Apr,223,
2012,May,1029,
2012,Jun,2281,
2012,Jul,4111,
2012,Aug,5445,
2012,Sep,4664,
2012,Oct,3195,
2012,Nov,793,
2012,Dec,0,
2013,Jan,4,
2013,Feb,1,
2013,Mar,1,
2013,Apr,244,
2013,May,736,
2013,Jun,2352,
2013,Jul,6305,
2013,Aug,8168,
2013,Sep,8395,
2013,Oct,4872,
2013,Nov,437,
2013,Dec,101,
2014,Jan,1,
2014,Feb,2,
2014,Mar,30,
2014,Apr,215,
2014,May,901,
2014,Jun,3346,
2014,Jul,5793,
2014,Aug,7198,
2014,Sep,6265,
2014,Oct,7156,
2014,Nov,314,
2014,Dec,2,
2015,Jan,0,
2015,Feb,5,
2015,Mar,17,
2015,Apr,197#,
2015,May,598,
2015,Jun,3204,
2015,Jul,10445,
2015,Aug,6726,
2015,Sep,9978,
2015,Oct,9777,
2015,Nov,2237,
2015,Dec,5,
2016,Jan,1,
2016,Feb,1,
2016,Mar,59***,
2016,Apr,99***#,
2016,May,832,
2016,Jun,7113,
2016,Jul,"9,919***",
2016,Aug,5463,
2016,Sep,3624,
2016,Oct,5550,
2016,Nov,257,
2016,Dec,311,
2017,Jan,8,
2017,Feb,10,
2017,Mar,32,
2017,Apr,131,
2017,May,829,
2017,Jun,7581,
2017,Jul,10995,
2017,Aug,4558,
2017,Sep,5401,
2017,Oct,2540,
2017,Nov,617,
2017,Dec,35,
2018,Jan,0,
2018,Feb,2,
2018,Mar,6,
2018,Apr,138,
2018,May,616,
2018,Jun,4327,
2018,Jul,7966,
2018,Aug,9123,
2018,Sep,6158,
2018,Oct,4516,
2018,Nov,1238,
2018,Dec,8,
2019,Jan,6,
2019,Feb,26,
2019,Mar,18,
2019,Apr,274,
2019,May,1515,
2019,Jun,4640,
2019,Jul,7146,
2019,Aug,2128,
2019,Sep,1281,
2019,Oct,275,
2019,Nov,1,
2019,Dec,1,
